method,outcome,subset,threshold_c,mae,bias
variogram,A_new344,all,24.75,0.015440793600727523,4.761809459819498e-05
variogram,A_new344,all,25.0,0.01579836266848925,5.866249571325039e-05
variogram,A_new344,all,25.25,0.015836847072928175,5.2363650791405933e-05
variogram,A_new344,all,25.5,0.015721543377476267,0.00012792672632241467
variogram,A_new344,all,25.75,0.015469530286306777,0.00020295232415787836
variogram,A_new344,all,26.0,0.014912520760440898,0.0002564765428456143
variogram,A_new344,all,26.25,0.014069931434955774,0.0002432418326634956
variogram,A_new344,all,26.5,0.013162814384216905,0.0002967814417491203
variogram,A_new344,all,26.75,0.012373892677610347,0.0003024695852038744
variogram,A_new344,all,27.0,0.011025708313547223,0.0003474927391976994
variogram,A_new344,all,27.25,0.009692326941154206,0.0003582537197475353
variogram,A_new344,all,27.5,0.008103999180467378,0.00029717557572712835
variogram,A_new344,all,27.75,0.006583423459561107,0.00028165897317655427
variogram,A_new344,all,28.0,0.005029097292506931,0.00030496345009665423
variogram,A_new344,all,28.25,0.003806209031870915,0.00027023405590656687
variogram,A_new344,all,28.5,0.0025196704622723956,0.00023598669144448442
variogram,A_new344,high,9.5,0.0005387501123513508,-0.00018142938499901128
variogram,A_new344,high,9.75,0.0005974697450788508,-0.00023032463472137427
variogram,A_new344,high,10.0,0.0006999718264553636,-0.00024337834130297415
variogram,A_new344,high,10.25,0.000818708279397109,-0.00027508801288482417
variogram,A_new344,high,10.5,0.0009295053730601224,-0.0002596583348515417
variogram,A_new344,high,10.75,0.0010522546661284088,-0.00029165573245417835
variogram,A_new344,high,11.0,0.0011576770109084542,-0.00034175250512582346
variogram,A_new344,high,11.25,0.0013734777419115863,-0.0002909196134609592
variogram,A_new344,high,11.5,0.0015473130923764709,-0.0001838358683294907
variogram,A_new344,high,11.75,0.0017847288216736568,-0.00015334269264380572
variogram,A_new344,high,12.0,0.0020195223898854986,-0.00029837441489854365
variogram,A_new344,high,12.25,0.002262166887150036,-0.00040468472342313817
variogram,A_new344,high,12.5,0.0026808354232267973,-0.00040245880276405826
